id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54013957,"Cozy Nashville Home Near Airport, 10 mi > Downtown",38488850,Macy,,District 28,36.08059,-86.65104,Entire home/apt,137,2,70,2024-09-09,3.43,1,336,38,
54014532,"The Gwyneth: for design lovers, visiting Nashville",11490106,Julie,,District 6,36.18043,-86.74519,Entire home/apt,174,2,160,2024-09-14,5.05,1,54,49,4077122
54019502,"Lovely 2 Bedroom, 3 Bed- Music Row, Vandy, Belmont",4910520,Amy,,District 18,36.13608,-86.79564,Entire home/apt,242,1,167,2024-09-12,5.06,15,347,59,
54019898,Quaint Renovated Dorm Room in Music Row!,6855810,UrbanNashville,,District 19,36.145714,-86.795998,Private room,69,1,46,2024-09-02,1.45,115,142,7,
54020742,Historic Converted Dorm Room in Music Row!,6855810,UrbanNashville,,District 19,36.145744,-86.796005,Private room,72,1,121,2024-09-12,3.83,115,137,37,
54023253,The Little Madison Home- All yours & dog friendly.,1965836,Lauren,,District 9,36.25555,-86.70292,Entire home/apt,141,1,178,2024-09-02,5.85,1,320,50,
54031120,Convenient Private Suite in Music Row!,6855810,UrbanNashville,,District 19,36.145741,-86.79599,Private room,72,1,95,2024-09-13,3.01,115,124,39,
54032282,Music Row Private Suite Dorm in Great Location!,6855810,UrbanNashville,,District 19,36.14574,-86.79603,Private room,67,1,37,2024-09-12,1.18,115,141,16,
54033649,Renovated Dorm Room on Music Row in Nashville!,6855810,UrbanNashville,,District 19,36.145748,-86.795998,Private room,67,1,67,2024-09-13,2.12,115,138,26,
54034705,Renovated Dorm Suite - Right on Music Row!,6855810,UrbanNashville,,District 19,36.145744,-86.796013,Private room,65,1,89,2024-09-12,2.81,115,148,22,
54034712,"Converted Dorm Room in Music Row, near Downtown!",6855810,UrbanNashville,,District 19,36.145748,-86.796021,Private room,67,1,64,2024-09-02,2.03,115,133,31,
54036390,Blue Moon Country-Extended Stays! Mins 2 Broadway,20772148,GoodNight,,District 21,36.15408,-86.82639,Entire home/apt,,1,6,2024-08-31,0.20,210,286,1,
54038672,Downtown Historic Revamped Suite!,387909824,Scarritt,,District 19,36.145744,-86.796021,Private room,64,1,58,2024-09-02,1.83,1,147,17,
